listing_id,aspect,NSS_score
2407610,location,1.0
2407610,value,1.0
2409441,communication,1.0
2413865,amenities,0.6666666666666666
2413865,check_in,-1.0
2413865,cleanliness,0.7647058823529411
2413865,communication,1.0
2413865,location,1.0
2413865,value,1.0
2434974,amenities,1.0
2434974,check_in,1.0
2434974,cleanliness,0.9666666666666668
2434974,communication,0.9701492537313432
2434974,location,0.9047619047619048
2434974,value,1.0
2437576,amenities,1.0
2437576,check_in,1.0
2437576,cleanliness,1.0
2437576,communication,0.9090909090909092
2437576,location,0.68
2437576,value,1.0
2454945,location,1.0
2455101,amenities,1.0
2455101,cleanliness,0.6
2455101,communication,0.0
2455101,location,0.7777777777777778
2455101,value,1.0
2468232,amenities,1.0
2468232,check_in,1.0
2468232,cleanliness,1.0
2468232,communication,1.0
2468232,location,0.8823529411764706
2468232,value,1.0
2468803,amenities,-1.0
2468803,cleanliness,1.0
2468803,location,1.0
2469023,cleanliness,1.0
2469023,location,1.0
2489610,amenities,1.0
2489610,check_in,0.0
2489610,cleanliness,1.0
2489610,communication,1.0
2489610,location,1.0
2489610,value,1.0
2492235,amenities,0.6
2492235,check_in,1.0
2492235,cleanliness,0.8666666666666667
2492235,communication,1.0
2492235,location,0.8947368421052632
2492235,value,1.0
2516583,communication,1.0
2516683,cleanliness,1.0
2516683,location,1.0
2516683,value,1.0
2541148,amenities,1.0
2541148,check_in,1.0
2541148,cleanliness,0.0
2541148,communication,1.0
2541148,location,0.7142857142857143
2542746,amenities,0.8823529411764706
2542746,check_in,1.0
2542746,cleanliness,0.9272727272727272
2542746,communication,0.9701492537313432
2542746,location,0.9212598425196852
2542746,value,1.0
2548283,cleanliness,1.0
2548283,communication,1.0
2548283,location,1.0
2548310,amenities,1.0
2548310,check_in,1.0
2548310,cleanliness,1.0
2548310,communication,1.0
2548310,location,1.0
2548310,value,1.0
2561402,amenities,0.4285714285714285
2561402,check_in,-1.0
2561402,cleanliness,0.5789473684210527
2561402,communication,0.6
2561402,location,0.8823529411764706
2561402,value,1.0
2586938,amenities,-1.0
2586938,check_in,-1.0
2587195,amenities,1.0
2587195,cleanliness,1.0
2587195,location,0.3333333333333333
2604242,amenities,1.0
2604242,cleanliness,1.0
2604242,communication,1.0
2604242,location,0.8571428571428571
2604242,value,0.75
2604483,amenities,0.6
2604483,check_in,1.0
2604483,cleanliness,1.0
2604483,communication,1.0
2604483,location,0.7333333333333333
2604483,value,0.7777777777777778
2656886,amenities,0.5
2656886,check_in,1.0
2656886,cleanliness,0.7142857142857143
2656886,communication,1.0
2656886,location,1.0
2656886,value,1.0
2657480,amenities,0.0
2657480,check_in,-1.0
2657480,cleanliness,1.0
2657480,communication,0.8
2657480,location,1.0
2682899,amenities,0.6666666666666666
2682899,check_in,1.0
2682899,cleanliness,1.0
2682899,communication,1.0
2682899,location,0.875
2682899,value,1.0
2708302,amenities,0.8571428571428571
2708302,check_in,1.0
2708302,cleanliness,1.0
2708302,communication,1.0
2708302,location,0.8387096774193549
2708302,value,0.9047619047619048
2712577,amenities,1.0
2712577,cleanliness,1.0
2712577,communication,1.0
2712577,location,1.0
2712577,value,1.0
2716261,amenities,0.6666666666666666
2716261,check_in,1.0
2716261,cleanliness,0.918918918918919
2716261,communication,0.9694656488549618
2716261,location,0.8918918918918919
2716261,value,0.9487179487179488
2720747,amenities,-1.0
2720747,cleanliness,1.0
2720747,communication,1.0
2720747,location,1.0
2720747,value,1.0
2723621,amenities,1.0
2723621,check_in,0.7777777777777778
2723621,cleanliness,0.8260869565217391
2723621,communication,0.9393939393939394
2723621,location,0.8823529411764706
2723621,value,1.0
2726713,amenities,0.5
2726713,check_in,0.6
2726713,cleanliness,0.7647058823529411
2726713,communication,0.9473684210526316
2726713,location,0.8909090909090909
2726713,value,0.6666666666666666
2740249,amenities,0.0
2740249,cleanliness,1.0
2740249,communication,1.0
2740249,location,1.0
2740249,value,1.0
